produto,quantidade,corredor,prateleira
detergente,10,A,3
arroz,2,C,1
feijao,5,B,2
macarrao,3,A,1
oleo,2,B,5
sal,1,C,2
acucar,4,C,3
cafe,2,D,1
biscoito,6,E,4
leite,12,A,2
manteiga,2,A,5
queijo,1,A,5
presunto,1,A,5
suco,8,D,2
refrigerante,6,D,3
agua,20,D,4
cerveja,12,D,5
vinho,2,D,6
shampoo,3,F,1
condicionador,2,F,1
sabonete,10,F,2
creme_dental,5,F,3
papel_higienico,2,F,4
detergente_louca,4,G,1
esponja,3,G,1
amaciante,2,G,2
sabao_po,1,G,3
desinfetante,2,G,4
vassoura,1,H,1
rodo,1,H,1
panos,5,H,2
farinha_trigo,3,C,4
farinha_rosca,1,C,4
milho,4,B,3
ervilha,4,B,3
molho_tomate,10,B,4
sardinha,5,B,6
atum,3,B,6
azeite,2,B,5
vinagre,1,B,5
maionese,2,B,2
ketchup,2,B,2
mostarda,1,B,2
batata_palha,3,E,1
chocolate,5,E,2
gelatina,10,E,3
cha,2,D,1
fermento,1,C,5
aveia,2,C,6
granola,1,C,6
